127.0.0.1 - - [20/Jul/2025:16:39:46 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [20/Jul/2025:16:39:48 +0530] "GET /shopping-cart/ HTTP/1.1" 200 9318
0:0:0:0:0:0:0:1 - - [20/Jul/2025:16:39:49 +0530] "GET /shopping-cart/css/changes.css HTTP/1.1" 200 3037
0:0:0:0:0:0:0:1 - - [20/Jul/2025:16:39:49 +0530] "GET /shopping-cart/ShowImage?pid=P20230423084147 HTTP/1.1" 200 8000
0:0:0:0:0:0:0:1 - - [20/Jul/2025:16:39:49 +0530] "GET /shopping-cart/ShowImage?pid=P20230423084156 HTTP/1.1" 200 1930
0:0:0:0:0:0:0:1 - - [20/Jul/2025:16:39:49 +0530] "GET /shopping-cart/ShowImage?pid=P20230423084162 HTTP/1.1" 200 7736
0:0:0:0:0:0:0:1 - - [20/Jul/2025:16:39:49 +0530] "GET /shopping-cart/ShowImage?pid=P20250717114514 HTTP/1.1" 200 3486
0:0:0:0:0:0:0:1 - - [20/Jul/2025:16:43:35 +0530] "GET /shopping-cart/ HTTP/1.1" 200 9318
0:0:0:0:0:0:0:1 - - [20/Jul/2025:16:43:35 +0530] "GET /shopping-cart/css/changes.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2025:16:43:35 +0530] "GET /shopping-cart/ShowImage?pid=P20230423084156 HTTP/1.1" 200 1930
0:0:0:0:0:0:0:1 - - [20/Jul/2025:16:43:35 +0530] "GET /shopping-cart/ShowImage?pid=P20230423084147 HTTP/1.1" 200 8000
0:0:0:0:0:0:0:1 - - [20/Jul/2025:16:43:35 +0530] "GET /shopping-cart/ShowImage?pid=P20230423084162 HTTP/1.1" 200 7736
0:0:0:0:0:0:0:1 - - [20/Jul/2025:16:43:35 +0530] "GET /shopping-cart/ShowImage?pid=P20250717114514 HTTP/1.1" 200 3486
0:0:0:0:0:0:0:1 - - [20/Jul/2025:16:43:35 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Jul/2025:16:44:58 +0530] "GET /shopping-cart/ HTTP/1.1" 200 9318
0:0:0:0:0:0:0:1 - - [20/Jul/2025:16:44:58 +0530] "GET /shopping-cart/ShowImage?pid=P20230423084147 HTTP/1.1" 200 8000
0:0:0:0:0:0:0:1 - - [20/Jul/2025:16:44:58 +0530] "GET /shopping-cart/ShowImage?pid=P20230423084156 HTTP/1.1" 200 1930
0:0:0:0:0:0:0:1 - - [20/Jul/2025:16:44:58 +0530] "GET /shopping-cart/ShowImage?pid=P20230423084162 HTTP/1.1" 200 7736
0:0:0:0:0:0:0:1 - - [20/Jul/2025:16:44:58 +0530] "GET /shopping-cart/ShowImage?pid=P20250717114514 HTTP/1.1" 200 3486
